il,ilce,uzaklik_km,ad,klinik,uzmanlik,adres,yorum,renk,varlik,konum,kaynak,lat,lng,not
Mardin,Kiziltepe,1.26,Dt. Mehmet Esen,Kiziltepe ADSM,Dis hekimi,Tepebasi Mah. Hastane Cad.,0,BEYAZ standart,60,100,dt,37.3211632,40.7244759,
Mardin,Artuklu,1.56,Dt. Gulsen Yurekli,Mardin ADSM,Dis hekimi,Savurkapi Mah.,0,BEYAZ standart,60,100,dt,37.3177147,40.7504425,
Mardin,Artuklu,1.56,Dt. Mehmet Nuri Azboy,Mardin ADSM,Dis hekimi,Savurkapi Mah.,0,BEYAZ standart,60,100,dt,37.3177147,40.7504425,
Mardin,Artuklu,1.56,Dt. Mehmet Sidik Orak,Mardin ADSM,Dis hekimi,Savurkapi Mah.,0,BEYAZ standart,60,100,dt,37.3177147,40.7504425,
Mardin,Omerli,21.76,Dt. Mehmet Vahit Yildiz,Mardin Omerli Ilce Hastanesi,Dis hekimi,Yeni Mah. Ilce Girisi,0,BEYAZ standart,60,100,dt,37.4033813,40.9521332,
Mardin,Nusaybin,50.2,Dt. Serpil Demir,Nusaybin Devlet Hastanesi,Dis hekimi,Abdulkadirpasa Mah.,1,BEYAZ standart,60,100,dt,37.0812988,41.2206459,
